0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
,,,,,,,,,,,,,,,,TOP BƯU CỤC %GTC TỆ NHẤT,,,,,,,,,,,,,,,,TOP  20 BƯU CỤC %GTC TỐT NHẤT,,,,,,,,,,,,,,
AM,Chi tiết,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,,,Chi tiết,AM,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,%Tồn,,Chi tiết,AM,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,%Tồn
AM D.Long,(BTH) Liên Hương,2026-07-09 - Thứ 5,939,792,931,8,730,36,173,"99,15%","0,85%","77,74%","3,83%",,,(LDO) Hòa Ninh,AM Nga,2026-07-09 - Thứ 5,740,378,523,217,348,12,380,"70,67%","29,33%","47,03%","1,62%","51,35%",,(BTH) Hàm Thắng,AM Khánh,2026-07-09 - Thứ 5,1492,1222,1385,107,1147,32,313,"92,83%","7,17%","76,87%","2,14%","20,98%"
,(BTH) Phan Rí Cửa,2026-07-09 - Thứ 5,925,742,817,108,674,12,239,"88,33%","11,67%","72,87%","1,30%",,,(DNO) Quảng Khê,AM Nhung,2026-07-09 - Thứ 5,585,317,460,125,286,31,268,"78,64%","21,36%","48,89%","5,30%","45,81%",,(BTH) Hàm Thuận Nam,AM Nhựt,2026-07-09 - Thứ 5,614,480,567,47,470,11,133,"92,34%","7,66%","76,55%","1,79%","21,66%"
,(NTH) Bảo An,2026-07-09 - Thứ 5,1.525,1.175,1.445,80,1.093,34,398,"94,76%","5,24%","71,67%","2,23%",,,(KHO) Bắc Nha Trang,AM Công,2026-07-09 - Thứ 5,3.301,1919,2412,889,1671,117,1513,"73,07%","26,93%","50,62%","3,54%","45,84%",,(BTH) Lương Sơn,AM Khánh,2026-07-09 - Thứ 5,526,226,492,34,402,8,116,"93,53%","6,47%","76,42%","1,52%","22,05%"
,(NTH) Ninh Chử,2026-07-09 - Thứ 5,1.474,1.043,1.235,239,1.032,24,418,"83,79%","16,21%","70,01%","1,63%",,,(LDO) Lang Biang - Đà Lạt 2,AM Trường,2026-07-09 - Thứ 5,2753,1728,1690,1063,1413,40,1300,"61,39%","38,61%","51,33%","1,45%","47,22%",,(KHO) Diên Khánh 1,AM Phi,2026-07-09 - Thứ 5,577,458,572,5,440,12,125,"99,13%","0,87%","76,26%","2,08%","21,66%"
,(NTH) Ninh Sơn,2026-07-09 - Thứ 5,964,775,955,9,754,19,191,"99,07%","0,93%","78,22%","1,97%",,,(LDO) Đơn Dương,AM Đại,2026-07-09 - Thứ 5,1745,1109,1401,344,897,44,804,"80,29%","19,71%","51,41%","2,52%","46,08%",,(LDO) Ninh Gia,AM Trường,2026-07-09 - Thứ 5,574,460,572,2,434,15,125,"99,66%","0,34%","75,61%","2,61%","21,78%"
,(NTH) Phan Rang,2026-07-09 - Thứ 5,1.663,1.283,1.617,46,1.302,39,322,"97,24%","2,76%","78,29%","2,35%",,,(KHO) Vạn Ninh,AM Công,2026-07-09 - Thứ 5,1020,713,929,91,562,25,433,"91,08%","8,92%","55,10%","2,45%","42,45%",,(LDO) Đức Trọng 2,AM Tiến,2026-07-09 - Thứ 5,1304,992,1202,102,979,17,308,"92,18%","7,82%","75,08%","1,30%","23,62%"
,(NTH) Phước Dinh,2026-07-09 - Thứ 5,1.730,1.078,1.559,171,1.083,60,587,"90,12%","9,88%","62,60%","3,47%",,,(DNO) Cư Jút,AM Nhung,2026-07-09 - Thứ 5,1280,672,949,331,713,28,539,"74,14%","25,86%","55,70%","2,19%","42,11%",,(DNO) Đức Lập,AM Nhung,2026-07-09 - Thứ 5,1.380,1118,1370,10,1032,27,321,"99,27%","0,73%","74,78%","1,96%","23,26%"
,(NTH) Thuận Nam,2026-07-09 - Thứ 5,861,800,723,138,603,23,235,"83,97%","16,03%","70,03%","2,67%",,,(LDO) Bảo Lâm 1,AM Nga,2026-07-09 - Thứ 5,378,258,297,81,212,7,159,"78,57%","21,43%","56,08%","1,85%","42,07%",,(KHO) Cam Lâm 2,AM Long,2026-07-09 - Thứ 5,1070,793,1058,12,796,28,246,"98,88%","1,12%","74,39%","2,61%","22,99%"
AM Duy,(KHO) Khánh Sơn,2026-07-09 - Thứ 5,259,211,257,2,220,6,33,"99,23%","0,77%","84,94%","2,32%",,,(KHO) Cam Lâm 1,AM Phi,2026-07-09 - Thứ 5,868,488,706,162,487,16,365,"81,34%","18,66%","56,11%","1,84%","42,05%",,(KHO) Khánh Vĩnh,AM Phi,2026-07-09 - Thứ 5,452,369,442,10,336,15,101,"97,79%","2,21%","74,34%","3,32%","22,34%"
,(KHO) Nha Trang,2026-07-09 - Thứ 5,752,531,737,15,496,20,236,"98,00%","2,00%","65,96%","2,66%",,,(DNO) Krông Nô,AM Nhung,2026-07-09 - Thứ 5,1035,593,868,167,596,25,414,"83,87%","16,13%","57,58%","2,41%","40,00%",,(LDO) 1 Bảo Lộc,AM Nga,2026-07-09 - Thứ 5,1025,846,894,131,755,12,258,"87,22%","12,78%","73,66%","1,17%","25,17%"
,(KHO) Tây Nha Trang,2026-07-09 - Thứ 5,916,709,901,15,665,20,231,"98,36%","1,64%","72,60%","2,18%",,,(LDO) Xuân Hương - Đà Lạt,AM Đại,2026-07-09 - Thứ 5,1729,1112,1276,453,1011,23,695,"73,80%","26,20%","58,47%","1,33%","40,20%",,(BTH) Mũi Né,AM Khánh,2026-07-09 - Thứ 5,1019,786,956,63,746,17,256,"93,82%","6,18%","73,21%","1,67%","25,12%"
AM Đại,(LDO) Đơn Dương,2026-07-09 - Thứ 5,1.745,1.109,1.401,344,897,44,804,"80,29%","19,71%","51,41%","2,52%",,,(BTH) Đồng Kho,AM Khánh,2026-07-09 - Thứ 5,1538,1024,1140,398,911,23,604,"74,12%","25,88%","59,23%","1,50%","39,27%",,(DNO) Quảng Sơn,AM Nhung,2026-07-09 - Thứ 5,424,306,421,3,309,15,100,"99,29%","0,71%","72,88%","3,54%","23,59%"
,(LDO) Lang Biang - Đà Lạt 1,2026-07-09 - Thứ 5,1.852,784,1.019,833,692,33,1.127,"55,02%","44,98%","37,36%","1,78%",,,(KHO) Nam Nha Trang 2,AM Thư,2026-07-09 - Thứ 5,1006,816,995,11,609,12,385,"98,91%","1,09%","60,54%","1,19%","38,27%",,(BTH) Phan Rí Cửa,AM D.Long,2026-07-09 - Thứ 5,925,742,817,108,674,12,239,"88,33%","11,67%","72,87%","1,30%","25,83%"
,(LDO) Xuân Hương - Đà Lạt,2026-07-09 - Thứ 5,1.729,1.112,1.276,453,1.011,23,695,"73,80%","26,20%","58,47%","1,33%",,,(NTH) Phước Dinh,AM D.Long,2026-07-09 - Thứ 5,1730,1078,1559,171,1083,60,587,"90,12%","9,88%","62,60%","3,47%","33,93%",,(LDO) Hiệp Thạnh,AM Trường,2026-07-09 - Thứ 5,610,534,546,64,443,9,158,"89,51%","10,49%","72,63%","1,48%","25,90%"
